Keyword;Class;EID;Year;Highly Cited;North Africa;OA;Journal Article
deep learning;computer science;2-s2.0-85085154586;2020;True;True;True;True
machine learning;computer science;2-s2.0-85075540575;2020;True;True;False;True
deep learning;computer science;2-s2.0-85085353964;2020;True;True;True;True
convolutional neural network;computer science;2-s2.0-85088599682;2020;True;True;True;True
deep learning;computer science;2-s2.0-85088599682;2020;True;True;True;True
transfer learning;computer science;2-s2.0-85088599682;2020;True;True;True;True
machine learning;computer science;2-s2.0-85077746216;2020;True;True;False;True
COVID-19;medicine;2-s2.0-85101867177;2020;True;True;True;True
deep learning;computer science;2-s2.0-85101867177;2020;True;True;True;True
artificial intelligence;computer science;2-s2.0-85090163898;2020;True;False;True;False
COVID-19;medicine;2-s2.0-85090163898;2020;True;False;True;False
convolutional neural network;computer science;2-s2.0-85067701488;2020;True;False;False;True
deep learning;computer science;2-s2.0-85067701488;2020;True;False;False;True
convolutional neural network;computer science;2-s2.0-85069850273;2020;True;True;False;True
deep learning;computer science;2-s2.0-85069850273;2020;True;True;False;True
computer-aided diagnosis;computer science;2-s2.0-85073006752;2020;True;True;False;True
deep learning;computer science;2-s2.0-85073006752;2020;True;True;False;True
machine learning;computer science;2-s2.0-85082130005;2020;True;False;True;False
deep learning;computer science;2-s2.0-85087653691;2020;True;True;False;True
machine learning;computer science;2-s2.0-85087653691;2020;True;True;False;True
convolutional neural network;computer science;2-s2.0-85084600417;2020;True;True;True;True
machine learning;computer science;2-s2.0-85091808895;2020;True;False;True;True
artificial intelligence;computer science;2-s2.0-85090332832;2020;True;False;True;False
deep learning;computer science;2-s2.0-85090332832;2020;True;False;True;False
medical diagnosis;medicine;2-s2.0-85090332832;2020;True;False;True;False
machine learning;computer science;2-s2.0-85090332832;2020;True;False;True;False
medical imaging;medicine;2-s2.0-85090332832;2020;True;False;True;False
artificial intelligence;computer science;2-s2.0-85079431895;2020;True;True;False;True
machine learning;computer science;2-s2.0-85079431895;2020;True;True;False;True
convolutional neural network;computer science;2-s2.0-85087720372;2020;True;True;False;True
deep learning;computer science;2-s2.0-85076862654;2020;True;True;True;True
deep learning;computer science;2-s2.0-85077871944;2020;True;True;True;True
COVID-19;medicine;2-s2.0-85088655571;2020;True;False;True;True
convolutional neural network;computer science;2-s2.0-85093897335;2020;True;True;True;True
COVID-19;medicine;2-s2.0-85093897335;2020;True;True;True;True
deep learning;computer science;2-s2.0-85093897335;2020;True;True;True;True
convolutional neural network;computer science;2-s2.0-85082511150;2020;True;True;True;True
deep learning;computer science;2-s2.0-85080984540;2020;True;False;True;True
deep learning;computer science;2-s2.0-85100104534;2020;True;True;True;False
deep learning;computer science;2-s2.0-85076733939;2020;True;True;False;True
machine learning;computer science;2-s2.0-85073818817;2020;True;True;False;True
deep learning;computer science;2-s2.0-85086461190;2020;True;False;False;True
artificial intelligence;computer science;2-s2.0-85091042749;2020;True;False;True;True
deep learning;computer science;2-s2.0-85091042749;2020;True;False;True;True
machine learning;computer science;2-s2.0-85084800978;2020;True;True;True;True
COVID-19;medicine;2-s2.0-85090346482;2020;True;True;True;True
machine learning;computer science;2-s2.0-85086996375;2020;True;True;True;True
machine learning;computer science;2-s2.0-85076035703;2020;True;True;False;True
convolutional neural network;computer science;2-s2.0-85089190213;2020;True;True;False;True
deep learning;computer science;2-s2.0-85089190213;2020;True;True;False;True
deep learning;computer science;2-s2.0-85086239075;2020;True;True;True;False
transfer learning;computer science;2-s2.0-85086239075;2020;True;True;True;False
artificial intelligence;computer science;2-s2.0-85098289221;2020;True;True;True;True
machine learning;computer science;2-s2.0-85098289221;2020;True;True;True;True
machine learning;computer science;2-s2.0-85090087491;2020;True;True;True;True
machine learning;computer science;2-s2.0-85083330872;2020;True;True;True;True
machine learning;computer science;2-s2.0-85079609813;2020;True;True;True;True
artificial intelligence;computer science;2-s2.0-85084721758;2020;True;False;False;False
deep learning;computer science;2-s2.0-85084721758;2020;True;False;False;False
artificial neural network;computer science;2-s2.0-85084721758;2020;True;False;False;False
deep neural network;computer science;2-s2.0-85094557171;2020;True;True;True;False
convolutional neural network;computer science;2-s2.0-85089957381;2020;True;False;True;True
deep learning;computer science;2-s2.0-85089957381;2020;True;False;True;True
machine learning;computer science;2-s2.0-85101019596;2020;True;False;True;True
deep learning;computer science;2-s2.0-85086465243;2020;True;True;False;True
deep learning;computer science;2-s2.0-85089017707;2020;True;False;False;True
machine learning;computer science;2-s2.0-85085188186;2020;True;True;False;False
deep learning;computer science;2-s2.0-85078472535;2020;True;True;True;True
machine learning;computer science;2-s2.0-85094600641;2020;True;True;True;True
deep learning;computer science;2-s2.0-85072211751;2020;True;True;False;True
machine learning;computer science;2-s2.0-85072211751;2020;True;True;False;True
artificial intelligence;computer science;2-s2.0-85097951867;2020;True;True;True;True
deep learning;computer science;2-s2.0-85097951867;2020;True;True;True;True
medical diagnosis;medicine;2-s2.0-85097951867;2020;True;True;True;True
machine learning;computer science;2-s2.0-85097951867;2020;True;True;True;True
artificial intelligence;computer science;2-s2.0-85091213249;2020;True;False;True;True
algorithm;computer science;2-s2.0-85086241471;2020;True;False;True;True
artificial intelligence;computer science;2-s2.0-85086241471;2020;True;False;True;True
deep learning;computer science;2-s2.0-85086241471;2020;True;False;True;True
machine learning;computer science;2-s2.0-85086241471;2020;True;False;True;True
COVID-19;medicine;2-s2.0-85097508732;2020;True;True;True;True
deep learning;computer science;2-s2.0-85097508732;2020;True;True;True;True
deep learning;computer science;2-s2.0-85103857063;2020;True;False;True;False
deep learning;computer science;2-s2.0-85096595498;2020;True;True;True;False
genetics;biology;2-s2.0-85082519659;2020;True;False;True;False
machine learning;computer science;2-s2.0-85071310493;2020;True;True;True;True
deep learning;computer science;2-s2.0-85081135693;2020;True;True;True;True
COVID-19;medicine;2-s2.0-85098706878;2020;True;True;False;True
deep learning;computer science;2-s2.0-85098706878;2020;True;True;False;True
deep learning;computer science;2-s2.0-85089507299;2020;True;True;False;True
transfer learning;computer science;2-s2.0-85089507299;2020;True;True;False;True
artificial intelligence;computer science;2-s2.0-85087471414;2020;True;False;True;True
data mining;computer science;2-s2.0-85087314741;2020;True;False;True;True
deep learning;computer science;2-s2.0-85083631768;2020;True;True;True;True
artificial intelligence;computer science;2-s2.0-85099271808;2020;True;False;True;False
COVID-19;medicine;2-s2.0-85099271808;2020;True;False;True;False
machine learning;computer science;2-s2.0-85092371496;2020;True;True;False;True
deep learning;computer science;2-s2.0-85083385144;2020;True;True;False;True
transfer learning;computer science;2-s2.0-85083385144;2020;True;True;False;True
data mining;computer science;2-s2.0-85076880988;2020;True;True;False;True
deep learning;computer science;2-s2.0-85089700994;2020;True;True;False;False
deep learning;computer science;2-s2.0-85087495336;2020;True;False;True;True
medical imaging;medicine;2-s2.0-85087495336;2020;True;False;True;True
convolutional neural network;computer science;2-s2.0-85083979185;2020;True;True;True;True
artificial intelligence;computer science;2-s2.0-85083991889;2020;True;True;False;True
machine learning;computer science;2-s2.0-85104236031;2020;True;True;True;True
convolutional neural network;computer science;2-s2.0-85106299573;2020;True;True;True;True
deep learning;computer science;2-s2.0-85106299573;2020;True;True;True;True
convolutional neural network;computer science;2-s2.0-85089715387;2020;True;True;True;True
deep learning;computer science;2-s2.0-85089715387;2020;True;True;True;True
deep learning;computer science;2-s2.0-85088267988;2020;True;False;True;True
machine learning;computer science;2-s2.0-85083899859;2020;True;True;True;True
artificial intelligence;computer science;2-s2.0-85107656276;2020;True;False;True;True
machine learning;computer science;2-s2.0-85107656276;2020;True;False;True;True
COVID-19;medicine;2-s2.0-85105698875;2020;True;True;True;True
medical imaging;medicine;2-s2.0-85105698875;2020;True;True;True;True
transfer learning;computer science;2-s2.0-85105698875;2020;True;True;True;True
medical imaging;medicine;2-s2.0-85092762846;2020;True;False;False;False
data mining;computer science;2-s2.0-85087750131;2020;True;True;True;False
machine learning;computer science;2-s2.0-85087750131;2020;True;True;True;False
machine learning;computer science;2-s2.0-85097766998;2020;True;True;True;True
COVID-19;medicine;2-s2.0-85092608643;2020;True;False;True;False
data mining;computer science;2-s2.0-85085262249;2020;True;True;False;True
COVID-19;medicine;2-s2.0-85089117172;2020;True;False;True;True
deep learning;computer science;2-s2.0-85090025667;2020;True;True;True;True
machine learning;computer science;2-s2.0-85085937020;2020;True;False;False;True
deep learning;computer science;2-s2.0-85097204164;2020;True;True;True;True
feature extraction;computer science;2-s2.0-85097204164;2020;True;True;True;True
artificial intelligence;computer science;2-s2.0-85092798039;2020;True;True;True;True
convolutional neural network;computer science;2-s2.0-85092199892;2020;True;False;True;True
deep learning;computer science;2-s2.0-85092199892;2020;True;False;True;True
deep learning;computer science;2-s2.0-85088652312;2020;True;True;True;True
convolutional neural network;computer science;2-s2.0-85084123824;2020;True;False;True;False
deep learning;computer science;2-s2.0-85084123824;2020;True;False;True;False
artificial intelligence;computer science;2-s2.0-85123041067;2020;True;True;False;False
deep learning;computer science;2-s2.0-85102847950;2020;True;True;True;True
convolutional neural network;computer science;2-s2.0-85094117117;2020;True;False;True;True
transfer learning;computer science;2-s2.0-85094117117;2020;True;False;True;True
epidemiology;medicine;2-s2.0-85093911498;2020;True;False;True;True
deep learning;computer science;2-s2.0-85091255763;2020;True;True;True;True
forecasting;other;2-s2.0-85091255763;2020;True;True;True;True
classification;computer science;2-s2.0-85093663489;2020;True;True;False;False
machine learning;computer science;2-s2.0-85093663489;2020;True;True;False;False
artificial intelligence;computer science;2-s2.0-85090287012;2020;True;True;False;False
machine learning;computer science;2-s2.0-85090287012;2020;True;True;False;False
prediction;computer science;2-s2.0-85085520742;2020;True;True;False;False
deep learning;computer science;2-s2.0-85097220687;2020;True;True;True;True
convolutional neural network;computer science;2-s2.0-85090287534;2020;True;False;True;True
deep learning;computer science;2-s2.0-85090287534;2020;True;False;True;True
machine learning;computer science;2-s2.0-85082804987;2020;True;True;True;True
convolutional neural network;computer science;2-s2.0-85092704142;2020;True;True;True;True
deep learning;computer science;2-s2.0-85092704142;2020;True;True;True;True
artificial intelligence;computer science;2-s2.0-85097952549;2020;True;True;True;False
COVID-19;medicine;2-s2.0-85097952549;2020;True;True;True;False
deep learning;computer science;2-s2.0-85097952549;2020;True;True;True;False
deep learning;computer science;2-s2.0-85095773914;2020;True;False;True;False
deep learning;computer science;2-s2.0-85088162708;2020;True;True;False;True
deep learning;computer science;2-s2.0-85088874801;2020;True;True;True;True
deep learning;computer science;2-s2.0-85092530732;2020;True;True;False;False
machine learning;computer science;2-s2.0-85092530732;2020;True;True;False;False
deep learning;computer science;2-s2.0-85089829929;2020;True;False;True;True
machine learning;computer science;2-s2.0-85081650747;2020;True;False;True;True
convolutional neural network;computer science;2-s2.0-85102788698;2020;True;True;True;True
deep learning;computer science;2-s2.0-85102788698;2020;True;True;True;True
machine learning;computer science;2-s2.0-85064043631;2020;True;True;False;False
machine learning;computer science;2-s2.0-85096523004;2020;True;False;True;True
deep learning;computer science;2-s2.0-85095728678;2020;True;False;True;True
machine learning;computer science;2-s2.0-85088219111;2020;True;True;True;True
deep learning;computer science;2-s2.0-85089200623;2020;True;False;False;True
COVID-19;medicine;2-s2.0-85085147905;2020;True;False;True;True
artificial intelligence;computer science;2-s2.0-85078330919;2020;True;False;False;True
deep learning;computer science;2-s2.0-85078330919;2020;True;False;False;True
machine learning;computer science;2-s2.0-85078330919;2020;True;False;False;True
machine learning;computer science;2-s2.0-85077731914;2020;True;True;False;True
deep learning;computer science;2-s2.0-85081206269;2020;True;True;True;True
feature extraction;computer science;2-s2.0-85087591094;2020;False;True;False;True
convolutional neural network;computer science;2-s2.0-85091805474;2020;False;True;True;True
COVID-19;medicine;2-s2.0-85091805474;2020;False;True;True;True
deep learning;computer science;2-s2.0-85091805474;2020;False;True;True;True
medical diagnosis;medicine;2-s2.0-85091805474;2020;False;True;True;True
deep learning;computer science;2-s2.0-85067090516;2020;False;True;False;True
deep neural network;computer science;2-s2.0-85067090516;2020;False;True;False;True
deep learning;computer science;2-s2.0-85099698101;2020;False;True;False;False
epidemiology;medicine;2-s2.0-85089769213;2020;False;False;True;True
deep learning;computer science;2-s2.0-85089882567;2020;False;False;True;True
deep learning;computer science;2-s2.0-85078361205;2020;False;False;True;True
forecasting;other;2-s2.0-85085264206;2020;False;True;True;True
machine learning;computer science;2-s2.0-85077562549;2020;False;True;True;True
deep learning;computer science;2-s2.0-85092350461;2020;False;True;False;False
convolutional neural network;computer science;2-s2.0-85102855754;2020;False;True;True;True
deep learning;computer science;2-s2.0-85102855754;2020;False;True;True;True
transfer learning;computer science;2-s2.0-85102855754;2020;False;True;True;True
deep learning;computer science;2-s2.0-85091117227;2020;False;False;False;True
convolutional neural network;computer science;2-s2.0-85086225574;2020;False;True;False;False
machine learning;computer science;2-s2.0-85086225574;2020;False;True;False;False
convolutional neural network;computer science;2-s2.0-85065478343;2020;False;False;True;False
deep learning;computer science;2-s2.0-85065478343;2020;False;False;True;False
deep learning;computer science;2-s2.0-85100045973;2020;False;False;True;False
transfer learning;computer science;2-s2.0-85100045973;2020;False;False;True;False
deep learning;computer science;2-s2.0-85089814880;2020;False;True;False;True
machine learning;computer science;2-s2.0-85091182205;2020;False;True;True;True
COVID-19;medicine;2-s2.0-85092746955;2020;False;True;True;False
prediction;computer science;2-s2.0-85093645755;2020;False;True;False;False
deep learning;computer science;2-s2.0-85085746975;2020;False;True;False;True
artificial intelligence;computer science;2-s2.0-85097264478;2020;False;True;True;True
machine learning;computer science;2-s2.0-85097264478;2020;False;True;True;True
prediction;computer science;2-s2.0-85097264478;2020;False;True;True;True
deep learning;computer science;2-s2.0-85089359130;2020;False;True;False;True
deep learning;computer science;2-s2.0-85088961150;2020;False;True;True;True
machine learning;computer science;2-s2.0-85088961150;2020;False;True;True;True
transfer learning;computer science;2-s2.0-85097818973;2020;False;True;True;True
deep learning;computer science;2-s2.0-85098081173;2020;False;True;True;True
deep learning;computer science;2-s2.0-85099070550;2020;False;True;True;True
COVID-19;medicine;2-s2.0-85096874471;2020;False;False;True;True
medical imaging;medicine;2-s2.0-85095823762;2020;False;True;True;True
deep learning;computer science;2-s2.0-85088749626;2020;False;True;True;False
machine learning;computer science;2-s2.0-85088458006;2020;False;False;False;False
deep learning;computer science;2-s2.0-85084287220;2020;False;False;True;False
artificial intelligence;computer science;2-s2.0-85094620223;2020;False;False;True;False
machine learning;computer science;2-s2.0-85087501825;2020;False;True;False;False
deep learning;computer science;2-s2.0-85090888510;2020;False;True;True;False
artificial neural network;computer science;2-s2.0-85090888510;2020;False;True;True;False
machine learning;computer science;2-s2.0-85096626788;2020;False;True;False;False
artificial intelligence;computer science;2-s2.0-85093679871;2020;False;True;False;False
deep learning;computer science;2-s2.0-85093679871;2020;False;True;False;False
machine learning;computer science;2-s2.0-85093679871;2020;False;True;False;False
machine learning;computer science;2-s2.0-85092445039;2020;False;True;False;False
deep learning;computer science;2-s2.0-85091999755;2020;False;True;False;False
classification;computer science;2-s2.0-85088268157;2020;False;False;False;True
deep learning;computer science;2-s2.0-85086936458;2020;False;True;False;False
machine learning;computer science;2-s2.0-85086936458;2020;False;True;False;False
convolutional neural network;computer science;2-s2.0-85103812279;2020;False;True;True;False
deep learning;computer science;2-s2.0-85103812279;2020;False;True;True;False
convolutional neural network;computer science;2-s2.0-85086363978;2020;False;True;True;True
deep learning;computer science;2-s2.0-85094323853;2020;False;False;False;False
machine learning;computer science;2-s2.0-85094323853;2020;False;False;False;False
machine learning;computer science;2-s2.0-85096615126;2020;False;False;False;True
machine learning;computer science;2-s2.0-85089571507;2020;False;False;True;True
data mining;computer science;2-s2.0-85080969849;2020;False;True;False;False
convolutional neural network;computer science;2-s2.0-85086600944;2020;False;True;False;True
machine learning;computer science;2-s2.0-85106412710;2020;False;True;True;True
deep learning;computer science;2-s2.0-85097980851;2020;False;True;False;False
machine learning;computer science;2-s2.0-85097980851;2020;False;True;False;False
prediction;computer science;2-s2.0-85099199503;2020;False;True;False;False
machine learning;computer science;2-s2.0-85083577693;2020;False;True;False;False
deep learning;computer science;2-s2.0-85123040657;2020;False;True;False;False
machine learning;computer science;2-s2.0-85123040657;2020;False;True;False;False
machine learning;computer science;2-s2.0-85086892391;2020;False;True;False;False
machine learning;computer science;2-s2.0-85082092622;2020;False;False;True;True
machine learning;computer science;2-s2.0-85090424299;2020;False;True;False;True
machine learning;computer science;2-s2.0-85089005533;2020;False;True;True;True
machine learning;computer science;2-s2.0-85087783627;2020;False;True;True;False
deep learning;computer science;2-s2.0-85087760347;2020;False;True;True;False
machine learning;computer science;2-s2.0-85087760347;2020;False;True;True;False
deep learning;computer science;2-s2.0-85086592455;2020;False;True;True;True
machine learning;computer science;2-s2.0-85082979051;2020;False;False;False;False
deep learning;computer science;2-s2.0-85081945699;2020;False;True;True;True
machine learning;computer science;2-s2.0-85100564510;2020;False;True;False;False
data mining;computer science;2-s2.0-85092893217;2020;False;True;False;True
machine learning;computer science;2-s2.0-85092893217;2020;False;True;False;True
machine learning;computer science;2-s2.0-85097151791;2020;False;True;True;True
deep learning;computer science;2-s2.0-85084510031;2020;False;True;False;True
feature extraction;computer science;2-s2.0-85084510031;2020;False;True;False;True
machine learning;computer science;2-s2.0-85084510031;2020;False;True;False;True
deep learning;computer science;2-s2.0-85089968637;2020;False;False;False;False
artificial intelligence;computer science;2-s2.0-85091920077;2020;False;False;False;False
machine learning;computer science;2-s2.0-85091920077;2020;False;False;False;False
data mining;computer science;2-s2.0-85085772289;2020;False;True;False;False
COVID-19;medicine;2-s2.0-85105991222;2020;False;True;False;False
deep learning;computer science;2-s2.0-85105991222;2020;False;True;False;False
deep learning;computer science;2-s2.0-85101386207;2020;False;True;True;False
machine learning;computer science;2-s2.0-85101386207;2020;False;True;True;False
deep learning;computer science;2-s2.0-85087092546;2020;False;False;True;True
transfer learning;computer science;2-s2.0-85087092546;2020;False;False;True;True
deep learning;computer science;2-s2.0-85084926422;2020;False;False;True;False
machine learning;computer science;2-s2.0-85084926422;2020;False;False;True;False
machine learning;computer science;2-s2.0-85080951969;2020;False;True;False;False
convolutional neural network;computer science;2-s2.0-85077496881;2020;False;False;False;False
deep learning;computer science;2-s2.0-85077496881;2020;False;False;False;False
medical imaging;medicine;2-s2.0-85077496881;2020;False;False;False;False
deep learning;computer science;2-s2.0-85100605938;2020;False;True;False;False
machine learning;computer science;2-s2.0-85097669997;2020;False;True;True;True
convolutional neural network;computer science;2-s2.0-85096175005;2020;False;False;False;True
machine learning;computer science;2-s2.0-85076054114;2020;False;True;False;True
machine learning;computer science;2-s2.0-85099582625;2020;False;False;True;False
COVID-19;medicine;2-s2.0-85097463523;2020;False;False;True;True
artificial intelligence;computer science;2-s2.0-85104481595;2020;False;False;True;False
machine learning;computer science;2-s2.0-85104481595;2020;False;False;True;False
convolutional neural network;computer science;2-s2.0-85097996926;2020;False;True;False;False
medical imaging;medicine;2-s2.0-85097996926;2020;False;True;False;False
transfer learning;computer science;2-s2.0-85097996926;2020;False;True;False;False
classification;computer science;2-s2.0-85098505359;2020;False;True;False;False
deep learning;computer science;2-s2.0-85089159312;2020;False;True;False;False
deep learning;computer science;2-s2.0-85083288875;2020;False;True;False;True
artificial intelligence;computer science;2-s2.0-85083508426;2020;False;True;False;False
convolutional neural network;computer science;2-s2.0-85102859378;2020;False;False;True;True
machine learning;computer science;2-s2.0-85093821240;2020;False;True;False;True
machine learning;computer science;2-s2.0-85088897885;2020;False;False;True;True
machine learning;computer science;2-s2.0-85088430172;2020;False;False;True;True
deep learning;computer science;2-s2.0-85083548525;2020;False;True;False;False
computer-aided diagnosis;computer science;2-s2.0-85082984993;2020;False;True;False;False
deep learning;computer science;2-s2.0-85082984993;2020;False;True;False;False
medical imaging;medicine;2-s2.0-85082984993;2020;False;True;False;False
deep learning;computer science;2-s2.0-85080964883;2020;False;True;False;False
machine learning;computer science;2-s2.0-85080909346;2020;False;True;False;False
deep learning;computer science;2-s2.0-85100865230;2020;False;True;True;False
machine learning;computer science;2-s2.0-85100865230;2020;False;True;True;False
transfer learning;computer science;2-s2.0-85100865230;2020;False;True;True;False
deep learning;computer science;2-s2.0-85100608109;2020;False;True;True;False
convolutional neural network;computer science;2-s2.0-85100124788;2020;False;True;True;False
deep learning;computer science;2-s2.0-85100124788;2020;False;True;True;False
medical imaging;medicine;2-s2.0-85100124788;2020;False;True;True;False
machine learning;computer science;2-s2.0-85096832659;2020;False;False;True;True
COVID-19;medicine;2-s2.0-85100598755;2020;False;True;True;False
deep learning;computer science;2-s2.0-85100598755;2020;False;True;True;False
medical diagnosis;medicine;2-s2.0-85100598755;2020;False;True;True;False
machine learning;computer science;2-s2.0-85097641534;2020;False;False;True;True
convolutional neural network;computer science;2-s2.0-85098700186;2020;False;True;False;False
deep learning;computer science;2-s2.0-85098700186;2020;False;True;False;False
transfer learning;computer science;2-s2.0-85098700186;2020;False;True;False;False
classification;computer science;2-s2.0-85096543328;2020;False;True;False;False
machine learning;computer science;2-s2.0-85096543328;2020;False;True;False;False
deep learning;computer science;2-s2.0-85093828125;2020;False;True;False;False
machine learning;computer science;2-s2.0-85085489496;2020;False;True;False;False
deep learning;computer science;2-s2.0-85085044696;2020;False;True;False;False
classification;computer science;2-s2.0-85117541042;2020;False;True;False;False
machine learning;computer science;2-s2.0-85084948510;2020;False;False;False;False
deep learning;computer science;2-s2.0-85083486821;2020;False;True;True;True
machine learning;computer science;2-s2.0-85093365119;2020;False;True;True;False
deep learning;computer science;2-s2.0-85093358603;2020;False;True;True;False
machine learning;computer science;2-s2.0-85088749681;2020;False;True;True;False
deep learning;computer science;2-s2.0-85087546221;2020;False;True;False;False
machine learning;computer science;2-s2.0-85085473168;2020;False;True;False;False
deep learning;computer science;2-s2.0-85083503887;2020;False;True;False;False
machine learning;computer science;2-s2.0-85064036952;2020;False;True;False;False
deep learning;computer science;2-s2.0-85089401782;2020;False;True;True;False
deep learning;computer science;2-s2.0-85099285917;2020;False;True;True;False
deep learning;computer science;2-s2.0-85100449913;2020;False;True;False;False
deep learning;computer science;2-s2.0-85098629308;2020;False;True;False;False
data mining;computer science;2-s2.0-85098670826;2020;False;True;False;False
machine learning;computer science;2-s2.0-85098670826;2020;False;True;False;False
machine learning;computer science;2-s2.0-85100704587;2020;False;False;True;True
artificial intelligence;computer science;2-s2.0-85097847972;2020;False;True;True;False
COVID-19;medicine;2-s2.0-85097847972;2020;False;True;True;False
machine learning;computer science;2-s2.0-85097847972;2020;False;True;True;False
medical diagnosis;medicine;2-s2.0-85096238509;2020;False;True;False;False
deep learning;computer science;2-s2.0-85096618338;2020;False;True;False;False
deep learning;computer science;2-s2.0-85096584229;2020;False;True;False;False
data mining;computer science;2-s2.0-85091678490;2020;False;True;False;True
feature extraction;computer science;2-s2.0-85091678490;2020;False;True;False;True
machine learning;computer science;2-s2.0-85091678490;2020;False;True;False;True
machine learning;computer science;2-s2.0-85089426535;2020;False;False;True;True
machine learning;computer science;2-s2.0-85089124999;2020;False;False;True;True
medical diagnosis;medicine;2-s2.0-85092042137;2020;False;True;True;True
machine learning;computer science;2-s2.0-85092042137;2020;False;True;True;True
artificial intelligence;computer science;2-s2.0-85089165005;2020;False;True;True;True
deep learning;computer science;2-s2.0-85089165005;2020;False;True;True;True
machine learning;computer science;2-s2.0-85089165005;2020;False;True;True;True
convolutional neural network;computer science;2-s2.0-85086337566;2020;False;True;False;True
deep learning;computer science;2-s2.0-85086337566;2020;False;True;False;True
deep learning;computer science;2-s2.0-85084070322;2020;False;True;False;True
convolutional neural network;computer science;2-s2.0-85103323355;2020;False;False;True;True
deep learning;computer science;2-s2.0-85103323355;2020;False;False;True;True
classification;computer science;2-s2.0-85099379820;2020;False;True;True;True
deep learning;computer science;2-s2.0-85098128959;2020;False;True;False;False
COVID-19;medicine;2-s2.0-85097549218;2020;False;True;True;True
classification;computer science;2-s2.0-85096767535;2020;False;True;False;True
convolutional neural network;computer science;2-s2.0-85091341948;2020;False;False;False;False
deep learning;computer science;2-s2.0-85091341948;2020;False;False;False;False
deep learning;computer science;2-s2.0-85089705269;2020;False;True;True;True
artificial intelligence;computer science;2-s2.0-85089613349;2020;False;True;False;True
convolutional neural network;computer science;2-s2.0-85089613349;2020;False;True;False;True
deep learning;computer science;2-s2.0-85089613349;2020;False;True;False;True
machine learning;computer science;2-s2.0-85089613349;2020;False;True;False;True
feature extraction;computer science;2-s2.0-85089214908;2020;False;False;False;True
machine learning;computer science;2-s2.0-85088210210;2020;False;True;False;False
deep learning;computer science;2-s2.0-85087416387;2020;False;True;False;True
deep learning;computer science;2-s2.0-85082992640;2020;False;True;False;False
deep learning;computer science;2-s2.0-85082989242;2020;False;True;False;False
deep learning;computer science;2-s2.0-85080864592;2020;False;True;False;False
machine learning;computer science;2-s2.0-85064042448;2020;False;True;False;False
deep learning;computer science;2-s2.0-85100491535;2020;False;True;False;False
epidemiology;medicine;2-s2.0-85098229521;2020;False;False;True;True
COVID-19;medicine;2-s2.0-85106901651;2020;False;True;True;False
deep learning;computer science;2-s2.0-85106901651;2020;False;True;True;False
forecasting;other;2-s2.0-85101328278;2020;False;False;False;True
machine learning;computer science;2-s2.0-85101328278;2020;False;False;False;True
machine learning;computer science;2-s2.0-85097427634;2020;False;True;True;True
deep learning;computer science;2-s2.0-85092644660;2020;False;False;True;True
