name,specialtylabel
hamartoma (morphologic abnormality),pathology
hamartomatous polyp,pathology
hamartomatous polyp (morphologic abnormality),pathology
amphetamine psychosis,psychiatry
stimulant-induced psychotic disorder,psychiatry
LFS,psychiatry
X-linked intellectual disability with marfanoid habitus,psychiatry
frontal lobe syndrome,psychiatry
lobotomy syndrome,psychiatry
FAS,psychiatry
empyema,surgery
collection of pus,surgery
stimulant psychosis,psychiatry
Lujan–Fryns syndrome,psychiatry
psychogenic pain,psychiatry
panic attack,psychiatry
frontal lobe disorder,psychiatry
Cotard's syndrome,psychology
walking corpse syndrome,psychology
Cotard's delusion,psychology
May–Thurner syndrome,cardiology
fibromuscular dysplasia,cardiology
arteriovenous fistula,cardiology
cholesterol embolism,cardiology
premature heart beat,cardiology
ventricular fibrillation,cardiology
dyslexia,neuropsychology
thought disorder,psychology
formal thought disorder,psychology
thought disorders,psychology
fugue state,psychology
Cotard delusion,psychology
Cocketts syndrome,cardiology
Iliac Vein Compression Syndrome,cardiology
Fibromuscular hyperplasia of arteries NOS (disorder),cardiology
Fibromuscular hyperplasia of artery,cardiology
Fibromuscular hyperplasia of artery (disorder),cardiology
Fibromuscular hyperplasia of artery [Ambiguous],cardiology
obsolete fibromuscular dysplasia,cardiology
congenital arteriovenous shunt,cardiology
atheroembolism,cardiology
cholesterol crystal embolism,cardiology
"Embolism, Cholesterol",cardiology
purple toe syndrome,cardiology
trash foot,cardiology
warfarin blue toe syndrome,cardiology
Extra beats,cardiology
extrasystole,cardiology
premature beat,cardiology
premature cardiac complex,cardiology
Premature heart beat,cardiology
VF,cardiology
"Fibrillation, Ventricular",cardiology
Ventricular Fibrillation,cardiology
"Ventricular fibrillation, Vf",cardiology
VFib,cardiology
cardiac conduction defect,cardiology
heart block,cardiology
heart rhythm disease,cardiology
conjunctival concretion,neurology
heart conduction disease,cardiology
nicotine dependence,psychology
tobacco addiction,psychology
tobacco dependence,psychology
acute confusional state,psychology
stress-related disorders,psychiatry
Foreign accent syndrome,psychiatry
binge-eating disorder,psychology
alcohol withdrawal seizure,neurology
cerebral hemorrhage,neurology
Fazio-Londe disease,neurology
Binswanger's disease,neurology
Nocturnal Enuresis,psychology
bedwetting,psychology
"enuresis, nocturnal",psychology
Sleep Enuresis,psychology
elective mutism,psychology
SM,psychology
effort syndrome,psychology
incontinence,gastroenterology
xanthoma,gastroenterology
colon polyp,gastroenterology
colonic polyp,gastroenterology
Colonic Polyp,gastroenterology
Colonic Polyps,gastroenterology
polyp of colon,gastroenterology
Polyp of the Colon,gastroenterology
"Esophageal Spasm, Diffuse",gastroenterology
HSM,gastroenterology
delirium,psychology
hypomania,psychology
Corpus Callosum Agenesis,neurology
Acc,neurology
Agenesis of Corpus Callosum,neurology
"Agenesis of the Corpus Callosum, ACC",neurology
"CORPUS CALLOSUM, AGENESIS OF",neurology
WFS,neurology
DIDMOAD,neurology
Diabetes insipidus-diabetes mellitus-optic atrophy-deafness syndrome,neurology
"Diabetes Insipidus, Diabetes Mellitus, Optic Atrophy, and Deafness Syndrome",neurology
Diabetes mellitus AND insipidus with optic atrophy AND deafness,neurology
Diabetes mellitus AND insipidus with optic atrophy AND deafness (disorder),neurology
DIDMOAD syndrome,neurology
associative aphasia,neurology
Central aphasia,neurology
Cerebral herniation,neurology
tension-type headache,neurology
alcohol withdrawal seizures,neurology
brain bleed,neurology
brain haemorrhage,neurology
brain hemorrhage,neurology
cerebral haematoma,neurology
cerebral haemorrhage,neurology
cerebral hematoma,neurology
agenesis of the corpus callosum,neurology
Wolfram syndrome,neurology
conduction aphasia,neurology
brain herniation,neurology
tension headache,neurology
neurasthenia,psychiatry
بیماری اختلال خلقی دوقطبی چهار نوع دارد که نوع یک آن(BMD/I),psychology
BED,psychology
binge eating disorder,psychology
psychogenic overeating,psychology
Kostmann syndrome,hematology
ulcer of esophagus,gastroenterology
diffuse esophageal spasm,gastroenterology
hepatosplenomegaly,gastroenterology
intracerebral haemorrhage,neurology
intracerebral hemorrhage,neurology
Progressive bulbar palsy of childhood,neurology
Riboflavin transporter deficiency,neurology
subcortical arteriosclerotic encephalopathy,neurology
subcortical leukoencephalopathy,neurology
Conjunctival concretion (disorder),neurology
Conjunctival concretions,neurology
hysteria,psychology
tobacco use disorder,psychology
survivor syndrome,psychiatry
survivor's guilt,psychiatry
survivor's syndrome,psychiatry
survivors guilt,psychiatry
brain syndrome NOS,psychiatry
chronic organic brain syndrome,psychiatry
organic brain disease,psychiatry
organic brain disorder,psychiatry
organic mental disorder,psychiatry
organic mental syndrome,psychiatry
elective mutism,psychiatry
SM,psychiatry
effort syndrome,psychiatry
Basuritis,gastroenterology
diverticulum,gastroenterology
fecal incontinence,gastroenterology
xanthoma,gastroenterology
colorectal polyp,gastroenterology
bicuspid aortic valve,cardiology
Caput medusae,cardiology
survivor guilt,psychiatry
dhat syndrome,psychiatry
organic brain syndrome,psychiatry
selective mutism,psychiatry
nocturnal enuresis,psychology
selective mutism,psychology
neurasthenia,psychology
dysarthria,speech-language pathology
myelitis,neurology
Argyll Robertson pupil,neurology
torsion dystonia,neurology
dopamine-responsive dystonia,neurology
dysosmia,neurology
subarachnoid hemorrhage,neurology
communication disorder,speech-language pathology
communicative disorders,speech-language pathology
communication disability,speech-language pathology
ACS,cardiology
"ACS, Acute coronary syndrome",cardiology
Acute Coronary Syndrome,cardiology
"Acute coronary syndrome, ACS",cardiology
Acute Coronary Syndromes,cardiology
"Coronary Syndrome, Acute",cardiology
"Coronary Syndromes, Acute",cardiology
"Syndrome, Acute Coronary",cardiology
"Syndromes, Acute Coronary",cardiology
Ebstein's anomaly,cardiology
EBSTEIN ANOMALY,cardiology
Ebstein anomaly of the tricuspid valve,cardiology
Ebstein disease,cardiology
Ebstein malformation,cardiology
Ebstein's anomaly (disorder) [Ambiguous],cardiology
Ebstein's anomaly of common atrioventricular valve,cardiology
Ebstein's anomaly of common atrioventricular valve (disorder),cardiology
Ebstein's anomaly of right atrioventricular valve,cardiology
Ebstein's anomaly of right atrioventricular valve (disorder),cardiology
Ebstein's anomaly of tricuspid valve,cardiology
Ebstein's anomaly of tricuspid valve (disorder),cardiology
Epstein disease,cardiology
Angiomatoses,cardiology
acroparesthesia syndrome,cardiology
obsolete acroparesthesia syndrome,cardiology
brain neoplasms,neurology
brain tumors,neurology
stuporous state,neurology
kuru encephalopathy,neurology
Alstrom syndrome,neurology
Alstrom–Halgren syndrome,neurology
spinal cord inflammation,neurology
spinal corditis,neurology
"Argyll Robertson phenomenon or pupil, nonsyphilitic",neurology
"Argyll Robertson pupil, atypical",neurology
Atypical Argyll-Robertson pupil,neurology
Atypical Argyll-Robertson pupil (disorder),neurology
dystonia musculorum deformans,neurology
DYT-1 dystonia,neurology
DYT1 dystonia,neurology
Early onset torsion dystonia,neurology
Oppenheim's dystonia,neurology
Dopa-responsive dystonia,neurology
DYT5 Dystonia,neurology
Hereditary progressive dystonia with diurnal fluctuation,neurology
HPD with diurnal fluctuation,neurology
Segawa syndrome,neurology
Segawa's Disease,neurology
Segawa's dystonia,neurology
SAH,neurology
subarachnoid haemorrhage,neurology
subarachnoid haematoma,neurology
subarachnoid hematoma,neurology
abnormality of gait,neurology
"Gait Disorders, Neurologic",neurology
FAS,neurology
azotemia,obstetrics and gynaecology
Babinski–Nageotte syndrome,neurology
Benedikt syndrome,neurology
gait abnormality,neurology
Foreign accent syndrome,neurology
Small bowel tumors,oncology
Malignant neoplasms of the small intestine,oncology
cancer of small intestine,oncology
Malignant Neoplasm of Small Bowel,oncology
malignant neoplasm of small intestine,oncology
Malignant Neoplasm of the Small Bowel,oncology
Malignant Neoplasm of the Small Intestine,oncology
Malignant Small Bowel Neoplasm,oncology
Malignant Small Bowel Tumor,oncology
Malignant Small Intestinal Neoplasm,oncology
malignant small intestine neoplasm,oncology
Malignant Small Intestine Tumor,oncology
Malignant Tumor of Small Bowel,oncology
Malignant Tumor of Small Intestine,oncology
Malignant Tumor of the Small Bowel,oncology
Malignant Tumor of the Small Intestine,oncology
Schilling's leukemia,oncology
bone neoplasms,oncology
bone tumor,oncology
Erdheim-Chester病,oncology
多骨性硬化性組織細胞增多症,oncology
脂肪肉芽腫病,oncology
blood coagulation disease,hematology
myelodysplastic syndrome,hematology
chronic myelomonocytic leukemia,hematology
acute coronary syndrome,cardiology
Ebstein anomaly,cardiology
angiomatosis,cardiology
acroparesthesia,cardiology
papillomatosis,oncology
small intestine cancer,oncology
monocytic leukemia,oncology
bone neoplasm,oncology
ependymoma,oncology
Erdheim-Chester disease,oncology
granuloma,dermatology
xanthoma,dermatology
staphylococcal skin infection,dermatology
erythema nodosum,dermatology
bleeding disorder,hematology
Blood Coagulation Disorder,hematology
Coagulation Defect,hematology
Coagulation Disorder,hematology
"Coagulation Disorder, Blood",hematology
"Coagulation Disorders, Blood",hematology
coagulopathy,hematology
"Disorder, Blood Coagulation",hematology
"Disorders, Blood Coagulation",hematology
postpartum coagulation defect,hematology
postpartum coagulation defect with delivery,hematology
blood coagulation diseases,hematology
Blood Coagulation Disorders,hematology
MDS,hematology
Myelodysplasia,hematology
preleukemia,hematology
Dysmyelopoietic Syndrome,hematology
Hematopoeitic - Myelodysplastic Syndrome (MDS),hematology
Myelodysplastic Neoplasm,hematology
MYELODYSPLASTIC SYNDROME,hematology
"Myelodysplastic syndrome, NOS",hematology
"Myelodysplastic Syndrome, Susceptibility to",hematology
MYELODYSPLASTIC SYNDROME; MDS,hematology
Myelodysplastic Syndrome/Neoplasm,hematology
myelodysplastic syndromes,hematology
Oligoblastic Leukemia,hematology
smoldering leukemia,hematology
CMML,hematology
Chronic myelomonocytic leukemia,hematology
Chronic Myelomonocytic Leukemia (CMML),hematology
"Leukemia, Myelomonocytic, Chronic",hematology
Broca's aphasia,neurology
Prolactinoma,neurology
familial prolactinoma,neurology
Lactotroph Adenoma,neurology
"PITUITARY ADENOMA, PROLACTIN-SECRETING",neurology
Pituitary Gland Prolactinoma,neurology
Pituitary lactotrophic adenoma,neurology
Pituitary PRL secretion hyperthyroidism,neurology
Pituitary Prolactinoma,neurology
PRL Producing Pituitary Gland Adenoma,neurology
PRL-secreting pituitary adenoma,neurology
PRLoma,neurology
Prolactin Producing Adenoma of Pituitary,neurology
Prolactin Producing Adenoma of Pituitary Gland,neurology
Prolactin Producing Adenoma of the Pituitary,neurology
Prolactin Producing Adenoma of the Pituitary Gland,neurology
Prolactin Producing Pituitary Adenoma,neurology
Prolactin Producing Pituitary Gland Adenoma,neurology
Prolactin secreting adenoma,neurology
Prolactin Secreting Adenoma,neurology
Prolactin Secreting Adenoma of Pituitary,neurology
Prolactin Secreting Adenoma of Pituitary Gland,neurology
Prolactin Secreting Adenoma of the Pituitary,neurology
Prolactin Secreting Adenoma of the Pituitary Gland,neurology
Prolactin secreting pituitary adenoma,neurology
Prolactin Secreting Pituitary Adenoma,neurology
Prolactin Secreting Pituitary Gland Adenoma,neurology
Prolactin-Producing Pituitary Gland Adenoma,neurology
Prolactin-secreting pituitary adenoma,neurology
Prolactinoma of Pituitary,neurology
Prolactinoma of Pituitary gland,neurology
Prolactinoma of the Pituitary,neurology
Prolactinoma of the Pituitary Gland,neurology
"Prolactinoma, Familial",neurology
PM,neurology
Polymyositis,neurology
chiasma syndrome,neurology
chiasmal syndrome,neurology
Chiasmatic syndrome,neurology
disorder of optic chiasm,neurology
Arnold-Chiari Malformation,neurology
Chiari malformation,neurology
Cm2,neurology
(Arnold) Chiari Malformation,neurology
Arnold-Chiari malformation type 2,neurology
Arnold-Chiari malformation type II,neurology
Chiari Malformation,neurology
Chiari malformation type 2,neurology
CHIARI MALFORMATION TYPE II,neurology
Diabetic Nephropathy,endocrinology
diabetes mellitus insulin dependent type not stated as uncontrolled with renal manifestations,endocrinology
"Diabetes mellitus juvenile type, not stated as uncontrolled, with renal manifestations",endocrinology
"Diabetes mellitus type I [insulin dependent type] [IDDM] [juvenile type], not stated as uncontrolled, with renal manifestations",endocrinology
diabetes mellitus insulin dependent type uncontrolled with renal manifestations,endocrinology
"Diabetes mellitus juvenile type, uncontrolled, with renal manifestations",endocrinology
"Diabetes mellitus type I [juvenile type], uncontrolled, with renal manifestations",endocrinology
diabetic kidney disease,endocrinology
Diabetic Nephropathies,endocrinology
Nephropatia diabetica,endocrinology
obsolete diabetic nephropathy,endocrinology
dysarthria,neurology
brain tumor,neurology
expressive aphasia,neurology
prolactinoma,neurology
polymyositis,neurology
chiasmal syndrome,neurology
Arnold-Chiari malformation,neurology
articular gout,internal medicine
gouty arthropathy,internal medicine
podagra,internal medicine
Bicuspid aortic valve (BAV),cardiology
Cruveilhier–Baumgarten syndrome,cardiology
Distended umbilical veins,cardiology
albuminuria,obstetrics and gynaecology
communication disorder,speech-language pathology
brain herniation,neurosurgery
cerebral hemorrhage,neurosurgery
rabies,surgery
stupor,neurology
kuru,neurology
Lyme disease,cardiology
Lyssa,surgery
extreme salivation,surgery
hydrophobia,surgery
Gout,internal medicine
anorchia,urology
aspermia,urology
azotemia,urology
agrypnia excitata,neurology
Alström syndrome,neurology
paramyotonia congenita,neurology
experimental autoimmune encephalomyelitis,neurology
Todd's paresis,neurology
tetany,neurology
cardiac disease,cardiology
disease of heart,cardiology
disorder of heart,cardiology
heart diseases,cardiology
heart disorder,cardiology
heart trouble,cardiology
xanthoma,dermatology
staphylococcal skin infections,dermatology
Erythema nodosum:EM,dermatology
Erythema nodosum:EN,dermatology
dermatitis exfoliativa,dermatology
exfoliative dermatitis,dermatology
EAE,immunology
autoimmune encephalomyelitis,immunology
arthritis psoriatica,immunology
"Arthritis, Psoriatic",immunology
arthropathic psoriasis,immunology
psoriatic arthropathy,immunology
experimental autoimmune encephalomyelitis,immunology
psoriatic arthritis,immunology
Borrelia,cardiology
Lyme borreliosis,cardiology
Lyme Disease,cardiology
Bannwarth syndrome,cardiology
Bannwarth syndrome (disorder),cardiology
Bannworth's syndrome,cardiology
Borrelia burgdorferi Infection,cardiology
lyme neuroborreliosis,cardiology
neuroborreliosis,cardiology
Neurological Lyme disease,cardiology
preterm birth,pediatrics
adenovirus infection,pediatrics
PC,neurology
PMC,neurology
Paramyotonia congenita,neurology
Eulenburg disease,neurology
Paralysis Periodica Paramyotonica,neurology
paramyotonia congenita of von Eulenburg,neurology
PARAMYOTONIA CONGENITA OF VON EULENBURG; PMC,neurology
Paramyotonia Congenita Without Cold Paralysis,neurology
EAE,neurology
autoimmune encephalomyelitis,neurology
erythroderma,dermatology
Paraneoplastic pemphigus,dermatology
Cerebral herniation,neurosurgery
brain bleed,neurosurgery
brain haemorrhage,neurosurgery
brain hemorrhage,neurosurgery
cerebral haematoma,neurosurgery
cerebral haemorrhage,neurosurgery
cerebral hematoma,neurosurgery
intracerebral haemorrhage,neurosurgery
intracerebral hemorrhage,neurosurgery
SCI,neurosurgery
broken spinal cord,neurosurgery
spinal cord damage,neurosurgery
spinal cord injuries,neurosurgery
Peyronie's Disease,urology
Induratio penis plastica,urology
Induratio penis plastica (disorder),urology
penile fibromatosis,urology
Penile Fibromatosis,urology
Penile Induration,urology
penis fibromatosis,urology
Peyronie disease,urology
Peyronie's Fibromatosis,urology
Retroverted uterus,urology
diabetic foot,cardiology
ventricular tachycardia,cardiology
heart arrhythmia,cardiology
stannosis,pulmonology
laryngospasm,pulmonology
empyema,pulmonology
Peyronie's disease,urology
albuminuria,urology
retroverted uterus,urology
Chronic allograft nephropathy,urology
"Dermatitis, Photoallergic",immunology
Photoallergic contact dermatitis,immunology
photoallergic dermatitis,immunology
Photoallergic dermatitis,immunology
Photoallergic dermatitis (disorder),immunology
Photoallergic eczema,immunology
Photodermatitis,immunology
Photodermatitis (disorder),immunology
photodermatitis,immunology
Hughes-Stovin syndrome,immunology
"Liver Diseases, Alcoholic",gastroenterology
IBD,gastroenterology
IBS,gastroenterology
Irritable Bowel Syndrome,gastroenterology
Irritable colon,gastroenterology
mucus colitis,gastroenterology
Psychogenic IBS,gastroenterology
spastic colon,gastroenterology
Splenic flexure syndrome,gastroenterology
VT,cardiology
"Tachycardia, Ventricular",cardiology
V-tach,cardiology
cardiac arrhythmia,cardiology
Arrhythmia,cardiology
Extrasystoles,cardiology
arrhythmia,cardiology
"Arrhythmias, Cardiac",cardiology
CARDIAC ARRHYTHMIA,cardiology
cardiac dysrhythmia,cardiology
cardiac irregularities,cardiology
cardiac rhythm disease,cardiology
disrhythmia,cardiology
irregular heart beat,cardiology
irregular heartbeat,cardiology
rare cardiac rhythm disease,cardiology
IBD,gastroenterology
inflammatory bowel disease,gastroenterology
anus inflammation,gastroenterology
anusitis,gastroenterology
Proctitis (disorder),gastroenterology
Proctitis NOS,gastroenterology
Proctitis NOS (disorder),gastroenterology
rectitis,gastroenterology
hepatic insufficiency,gastroenterology
liver insufficiency,gastroenterology
reduced liver function,gastroenterology
gout,internal medicine
heart disease,cardiology
diabetic nephropathy,nephrology
pre-term birth,pediatrics
premature birth,pediatrics
Adenoviridae infectious disease,pediatrics
Adenoviroze,pediatrics
adenovirus infectious disease,pediatrics
Diabetic Nephropathy,nephrology
diabetes mellitus insulin dependent type not stated as uncontrolled with renal manifestations,nephrology
"Diabetes mellitus juvenile type, not stated as uncontrolled, with renal manifestations",nephrology
"Diabetes mellitus type I [insulin dependent type] [IDDM] [juvenile type], not stated as uncontrolled, with renal manifestations",nephrology
diabetes mellitus insulin dependent type uncontrolled with renal manifestations,nephrology
"Diabetes mellitus juvenile type, uncontrolled, with renal manifestations",nephrology
"Diabetes mellitus type I [juvenile type], uncontrolled, with renal manifestations",nephrology
diabetic kidney disease,nephrology
Diabetic Nephropathies,nephrology
Nephropatia diabetica,nephrology
obsolete diabetic nephropathy,nephrology
anorchidism,urology
anorchism,urology
bilateral anorchia,urology
testicular agenesis,urology
aspermatism,urology
migraine,neurology
diabetic nephropathy,endocrinology
intestinal infarction,gastroenterology
mesenteric vascular insufficiency,gastroenterology
hypochlorhydria,gastroenterology
achylia  gastrica,gastroenterology
acute abdominal pain,gastroenterology
alcoholic liver disease,gastroenterology
irritable bowel syndrome,gastroenterology
spinal cord injury,neurosurgery
laryngeal spasm,pulmonology
laryngismus,pulmonology
vocal chord spasm,pulmonology
collection of pus,pulmonology
inflammatory bowel diseases,gastroenterology
proctitis,gastroenterology
liver failure,gastroenterology
migraine disorder,neurology
migraine disorders,neurology
migraine variant,neurology
migraine with or without aura,neurology
sick headache,neurology
cerebral abscess,neurology
acute confusional state,neurology
Dupuytren Contracture,rheumatology
Dupuytren contracture (disease),rheumatology
Dupuytren's Contracture,rheumatology
Palmar Fibromatosis,rheumatology
palmar part of manus fibromatosis,rheumatology
petechiae,rheumatology
toothache,gastroenterology
liver cirrhosis,gastroenterology
Accelerated phase chronic myelogenous leukemia,hematology
activated protein C resistance,hematology
multiple myeloma,hematology
Activated protein c resistance,hematology
APC resistance,hematology
Pccf Deficiency,hematology
Proc Cofactor Deficiency,hematology
"Resistance, APC",hematology
THPH2,hematology
Thrombophilia 5,hematology
thrombophilia due to activated protein C resistance,hematology
THROMBOPHILIA DUE TO ACTIVATED PROTEIN C RESISTANCE,hematology
THROMBOPHILIA DUE TO ACTIVATED PROTEIN C RESISTANCE; THPH2,hematology
Thrombophilia Due to Deficiency of Activated Protein C Cofactor,hematology
Thrombophilia Due to Factor 5 Leiden,hematology
plasma cell myeloma,hematology
keratoconus,ophthalmology
photokeratitis,ophthalmology
coxa vara,medical genetics
Wolfram syndrome,medical genetics
DOOR syndrome,medical genetics
Cat eye syndrome,medical genetics
Chronic and localized Langerhans cell histiocytosis,hematology
Chronic Unifocal Langerhans Cell Histiocytosis,hematology
Eosinophilic Granuloma,hematology
Eosinophilic Xanthomatous Granuloma,hematology
Monostotic Langerhans Cell Histiocytosis,hematology
Unifocal Langerhans Cell Histiocytosis,hematology
PCH,hematology
Donath-Landsteiner hemolytic anemia,hematology
Donath-Landsteiner syndrome,hematology
BPD,pediatrics
Bronchopulmonary dysplasia of newborn (disorder),pediatrics
chronic lung disease of infancy,pediatrics
neonatal chronic respiratory disease,pediatrics
obsolete bronchopulmonary dysplasia,pediatrics
Perinatal bronchopulmonary dysplasia,pediatrics
splenomegaly,general surgery
staphylococcal skin infection,infectious diseases
enterohaemorrhagic Escherichia coli infection,infectious diseases
ovine and caprine brucellosis,infectious diseases
Gradenigo's syndrome,otolaryngology
dichromatopsia,ophthalmology
Usher syndrome,ophthalmology
Charles Bonnet syndrome,ophthalmology
Acanthamoeba keratitis,ophthalmology
BCC,oncology
Basal cell cancer,oncology
basal cell carcinoma,oncology
Basal cell carcinoma NOS (morphologic abnormality),oncology
BASAL CELL carcinoma OF SKIN,oncology
Basal cell carcinoma of skin (disorder),oncology
Basal Cell Carcinoma of the Skin,oncology
Basal Cell Epithelioma,oncology
Basal cell neoplasm,oncology
Basal cell neoplasm (morphologic abnormality),oncology
Basal cell neoplasm NOS (morphologic abnormality),oncology
Basal Cell Skin Carcinoma,oncology
Basal cell tumor,oncology
Basal cell tumor (morphologic abnormality),oncology
Epithelioma basal cell,oncology
Epithelioma basal cell (disorder),oncology
malignant Basal cell neoplasm,oncology
malignant basal cell tumor,oncology
malignant basal cell tumor (morphologic abnormality),oncology
Nodular basal cell carcinoma,oncology
Polypoid basal cell carcinoma,oncology
Rodent ulcer,oncology
Skin Basal Cell Cancer,oncology
Skin Basal Cell Carcinoma,oncology
Dupuytren's contracture,rheumatology
fibromatosis,rheumatology
petechia,rheumatology
hand-foot syndrome,dermatology
Hand-foot syndrome,dermatology
Palmar-plantar erythrodysesthesia syndrome,dermatology
"Dermatitis, Photoallergic",dermatology
Photoallergic contact dermatitis,dermatology
photoallergic dermatitis,dermatology
Photoallergic dermatitis,dermatology
Photoallergic dermatitis (disorder),dermatology
Photoallergic eczema,dermatology
Photodermatitis,dermatology
Photodermatitis (disorder),dermatology
radiation-nduced dermatitis,dermatology
radiodermatitis,dermatology
NFD,dermatology
NSF,dermatology
nephrogenic fibrosing dermopathy,dermatology
fixed pigmented erythema,dermatology
BCC,dermatology
Basal cell cancer,dermatology
basal cell carcinoma,dermatology
Basal cell carcinoma NOS (morphologic abnormality),dermatology
BASAL CELL carcinoma OF SKIN,dermatology
Basal cell carcinoma of skin (disorder),dermatology
Basal Cell Carcinoma of the Skin,dermatology
Basal Cell Epithelioma,dermatology
Basal cell neoplasm,dermatology
Basal cell neoplasm (morphologic abnormality),dermatology
Basal cell neoplasm NOS (morphologic abnormality),dermatology
Basal Cell Skin Carcinoma,dermatology
Basal cell tumor,dermatology
Basal cell tumor (morphologic abnormality),dermatology
Epithelioma basal cell,dermatology
Epithelioma basal cell (disorder),dermatology
malignant Basal cell neoplasm,dermatology
malignant basal cell tumor,dermatology
malignant basal cell tumor (morphologic abnormality),dermatology
Nodular basal cell carcinoma,dermatology
Polypoid basal cell carcinoma,dermatology
Rodent ulcer,dermatology
Skin Basal Cell Cancer,dermatology
Skin Basal Cell Carcinoma,dermatology
spasticity,neurology
febrile seizure,neurology
uveitis,ophthalmology
abducens nerve palsy,ophthalmology
Alström syndrome,ophthalmology
dermatochalasis,medical genetics
distichia,medical genetics
Schimmelpenning syndrome,medical genetics
Ellis–Van Creveld syndrome,medical genetics
epispadias,medical genetics
Ectopia cordis,medical genetics
pneumoperitoneum,gastroenterology
gastritis,gastroenterology
Bladder infection,urology
urinary bladder inflammation,urology
urinary bladderitis,urology
bladder incontinence,urology
loss of bladder control,urology
PPP,urology
hirsutoid papilloma,urology
pearly penile papule,urology
frontotemporal lobar degeneration,neurology
progressive nonfluent aphasia,neurology
meningitis,neurology
Chemotherapy-induced acral erythema,dermatology
photodermatitis,dermatology
radiation burn,dermatology
nephrogenic systemic fibrosis,dermatology
Fixed drug reaction,dermatology
intertrigo,dermatology
basal-cell carcinoma,dermatology
myxoma,oncology
glucagonoma,oncology
basal-cell carcinoma,oncology
eosinophilic granuloma,hematology
paroxysmal cold hemoglobinuria,hematology
mesenteric ischemia,gastroenterology
AAA disease,gastroenterology
achlorhydria,gastroenterology
achylia,gastroenterology
acute abdomen,gastroenterology
bronchopulmonary dysplasia,pediatrics
dichromatism,ophthalmology
dyschromatopsia,ophthalmology
dystrophia retinae dysacusis syndrome,ophthalmology
Hallgren syndrome,ophthalmology
retinitis pigmentosa-dysacusis syndrome,ophthalmology
Usher syndromes,ophthalmology
Usher-Hallgren syndrome,ophthalmology
CBS,ophthalmology
charles bonnet syndrome,ophthalmology
Acanthameba keratitis,ophthalmology
Acanthamoeba keratitis (disorder),ophthalmology
"Keratitis, Acanthamoeba",ophthalmology
obsolete Acanthamoeba keratitis,ophthalmology
staphylococcal skin infections,infectious diseases
Enterohemorrhagic Escherichia coli infection,infectious diseases
Enterohaemorrhagic Escherichia coli infection,infectious diseases
enterohemorrhagic Escherichia coli infectious disease,infectious diseases
intestinal infection due to enterohemorrhagic E. coli,infectious diseases
obsolete enterohemorrhagic Escherichia coli infectious disease,infectious diseases
Verotoxigenic Escherichia coli gastrointestinal tract infection,infectious diseases
Verotoxigenic Escherichia coli gastrointestinal tract infection (disorder),infectious diseases
Brucella melitensis brucellosis,infectious diseases
brain inflammation,neurology
brainitis,neurology
Borrelia,neurology
Lyme borreliosis,neurology
Lyme Disease,neurology
Bannwarth syndrome,neurology
Bannwarth syndrome (disorder),neurology
Bannworth's syndrome,neurology
Borrelia burgdorferi Infection,neurology
lyme neuroborreliosis,neurology
neuroborreliosis,neurology
Neurological Lyme disease,neurology
FTLD,neurology
Agramatic variant of PPA,neurology
Agramatic variant of primary progressive aphasia,neurology
