Title;EID;DOI;DocumentType;Year;Disease;Category
Electrocardiogram heartbeat classification based on a deep convolutional neural network and focal loss;2-s2.0-85087720372;10.1016/j.compbiomed.2020.103866;Article;2020;Arrhythmia;rhythmology
Electrocardiogram heartbeat classification based on a deep convolutional neural network and focal loss;2-s2.0-85087720372;10.1016/j.compbiomed.2020.103866;Article;2020;arrhythmia;rhythmology
Cardiac substructure segmentation with deep learning for improved cardiac sparing;2-s2.0-85077871944;10.1002/mp.13940;Article;2020;heart disease;cardiology
Heart disease classification using data mining tools and machine learning techniques;2-s2.0-85085543182;10.1007/s12553-020-00438-1;Article;2020;heart disease;cardiology
Bacterial Vaginosis: Current Diagnostic Avenues and Future Opportunities;2-s2.0-85089995499;10.3389/fcimb.2020.00354;Review;2020;preterm birth;pediatrics
CNN-based health model for regular health factors analysis in internet-of-medical things environment;2-s2.0-85082511150;10.1109/ACCESS.2020.2980938;Article;2020;high blood pressure;family medicine
Improved sparse autoencoder based artificial neural network approach for prediction of heart disease;2-s2.0-85080984540;10.1016/j.imu.2020.100307;Article;2020;heart disease;cardiology
Heart disease identification from patientsâ€™ social posts, machine learning solution on Spark;2-s2.0-85073818817;10.1016/j.future.2019.09.056;Article;2020;heart disease;cardiology
Transfer learning using convolutional neural network architectures for brain tumor classification from MRI images;2-s2.0-85086239075;10.1007/978-3-030-49161-1_17;Conference Paper;2020;brain tumor;neurosurgery
Breast Cancer Image Classification via Multi-Network Features and Dual-Network Orthogonal Low-Rank Learning;2-s2.0-85079764351;10.1109/ACCESS.2020.2964276;Article;2020;carcinoma;oncology
Long short term memory based patient-dependent model for FOG detection in Parkinson's disease;2-s2.0-85076261703;10.1016/j.patrec.2019.11.036;Article;2020;freezing;emergency medicine
Data preprocessing for heart disease classification: A systematic literature review.;2-s2.0-85087500300;10.1016/j.cmpb.2020.105635;Review;2020;cardiac disease;cardiology
Data preprocessing for heart disease classification: A systematic literature review.;2-s2.0-85087500300;10.1016/j.cmpb.2020.105635;Review;2020;heart diseases;cardiology
Data preprocessing for heart disease classification: A systematic literature review.;2-s2.0-85087500300;10.1016/j.cmpb.2020.105635;Review;2020;heart disease;cardiology
Medical Diagnostic Systems Using Artificial Intelligence (AI) Algorithms: Principles and Perspectives;2-s2.0-85097951867;10.1109/ACCESS.2020.3042273;Article;2020;heart disease;cardiology
Hybrid-COVID: a novel hybrid 2D/3D CNN based on cross-domain adaptation approach for COVID-19 screening from chest X-ray images;2-s2.0-85097508732;10.1007/s13246-020-00957-1;Article;2020;respiratory infection;infectious diseases
Hybrid-COVID: a novel hybrid 2D/3D CNN based on cross-domain adaptation approach for COVID-19 screening from chest X-ray images;2-s2.0-85097508732;10.1007/s13246-020-00957-1;Article;2020;respiratory infections;infectious diseases
Deep Learning in Selected Cancersâ€™ Image Analysisâ€”A Survey;2-s2.0-85103857063;10.3390/jimaging6110121;Review;2020;brain tumor;neurosurgery
Deep Learning in Selected Cancersâ€™ Image Analysisâ€”A Survey;2-s2.0-85103857063;10.3390/jimaging6110121;Review;2020;freezing;emergency medicine
A novel medical diagnosis support system for predicting patients with atherosclerosis diseases;2-s2.0-85097438509;10.1016/j.imu.2020.100483;Article;2020;heart disease;cardiology
Achieving accurate estimates of fetal gestational age and personalised predictions of fetal growth based on data from an international prospective cohort study: a population-based machine learning study;2-s2.0-85086706974;10.1016/S2589-7500(20)30131-X;Article;2020;preterm birth;pediatrics
Accuracy and efficiency of an artificial intelligence tool when counting breast mitoses;2-s2.0-85087471414;10.1186/s13000-020-00995-z;Article;2020;carcinoma;oncology
Machine Learning Prediction Models for Diagnosing Hepatocellular Carcinoma with HCV-related Chronic Liver Disease;2-s2.0-85086722836;10.1016/j.cmpb.2020.105551;Article;2020;carcinoma;oncology
Machine Learning Prediction Models for Diagnosing Hepatocellular Carcinoma with HCV-related Chronic Liver Disease;2-s2.0-85086722836;10.1016/j.cmpb.2020.105551;Article;2020;chronic hepatitis;infectious diseases
Development of novel ensemble model using stacking learning and evolutionary computation techniques for automated hepatocellular carcinoma detection;2-s2.0-85092371496;10.1016/j.bbe.2020.08.007;Article;2020;carcinoma;oncology
Migrating Intelligence from Cloud to Ultra-Edge Smart IoT Sensor Based on Deep Learning: An Arrhythmia Monitoring Use-Case;2-s2.0-85089700994;10.1109/IWCMC48107.2020.9148134;Conference Paper;2020;Arrhythmia;rhythmology
Migrating Intelligence from Cloud to Ultra-Edge Smart IoT Sensor Based on Deep Learning: An Arrhythmia Monitoring Use-Case;2-s2.0-85089700994;10.1109/IWCMC48107.2020.9148134;Conference Paper;2020;arrhythmia;rhythmology
Breast tumor segmentation in ultrasound images using contextual-information-aware deep adversarial learning framework;2-s2.0-85089563637;10.1016/j.eswa.2020.113870;Article;2020;breast tumor;dermatology
GP-GAN: Brain tumor growth prediction using stacked 3D generative adversarial networks from longitudinal MR Images;2-s2.0-85091235764;10.1016/j.neunet.2020.09.004;Article;2020;brain tumors;neurosurgery
GP-GAN: Brain tumor growth prediction using stacked 3D generative adversarial networks from longitudinal MR Images;2-s2.0-85091235764;10.1016/j.neunet.2020.09.004;Article;2020;brain tumor;neurosurgery
Epileptic seizure detection on EEG signals using machine learning techniques and advanced preprocessing methods;2-s2.0-85078510517;10.1515/bmt-2019-0001;Article;2020;epileptic seizure;epileptology
Epileptic seizure detection on EEG signals using machine learning techniques and advanced preprocessing methods;2-s2.0-85078510517;10.1515/bmt-2019-0001;Article;2020;seizure;epileptology
A Hybrid Approach for Heart Disease Diagnosis and Prediction Using Machine Learning Techniques;2-s2.0-85087750131;10.1007/978-3-030-51517-1_26;Conference Paper;2020;heart disease;cardiology
Multiomics Characterization of Preterm Birth in Low-and Middle-Income Countries;2-s2.0-85098825235;10.1001/jamanetworkopen.2020.29655;Article;2020;preterm birth;pediatrics
Supervised machine learning based medical diagnosis support system for prediction of patients with heart disease;2-s2.0-85092798039;10.25046/AJ050533;Article;2020;heart diseases;cardiology
Supervised machine learning based medical diagnosis support system for prediction of patients with heart disease;2-s2.0-85092798039;10.25046/AJ050533;Article;2020;heart disease;cardiology
Atherosclerosis disease prediction using Supervised Machine Learning Techniques;2-s2.0-85085520742;10.1109/IRASET48871.2020.9092082;Conference Paper;2020;heart disease;cardiology
A Dynamic filtering df-rnn deep-learning-based approach for eeg-based neurological disorders diagnosis;2-s2.0-85097220687;10.1109/ACCESS.2020.3037995;Article;2020;neurological disorder;neurology
Investigation of the performance of Machine Learning Classifiers for Pneumonia Detection in Chest X-ray Images;2-s2.0-85092530732;10.1109/EIT48999.2020.9208232;Conference Paper;2020;chest infection;pulmonology
A deep convolutional neural network for automated vestibular disorder classification using VNG analysis;2-s2.0-85076435227;10.1080/21681163.2019.1699165;Article;2020;vestibular disease;otolaryngology
A deep convolutional neural network for automated vestibular disorder classification using VNG analysis;2-s2.0-85076435227;10.1080/21681163.2019.1699165;Article;2020;vestibular dysfunction;otolaryngology
Integrating enhanced sparse autoencoder-based artificial neural network technique and softmax regression for medical diagnosis;2-s2.0-85096523004;10.3390/electronics9111963;Article;2020;heart disease;cardiology
eNose breath prints as a surrogate biomarker for classifying patients with asthma by atopy;2-s2.0-85088219111;10.1016/j.jaci.2020.05.038;Article;2020;atopic asthma;pulmonology
Supervised domain generalization for integration of disparate scalp EEG datasets for automatic epileptic seizure detection;2-s2.0-85083420347;10.1016/j.compbiomed.2020.103757;Article;2020;epileptic seizure;epileptology
Supervised domain generalization for integration of disparate scalp EEG datasets for automatic epileptic seizure detection;2-s2.0-85083420347;10.1016/j.compbiomed.2020.103757;Article;2020;seizure;epileptology
Convolutional Neural Networks for Multimodal Brain MRI Images Segmentation: A Comparative Study;2-s2.0-85086225574;10.1007/978-3-030-45183-7_25;Conference Paper;2020;brain tumors;neurosurgery
Convolutional Neural Networks for Multimodal Brain MRI Images Segmentation: A Comparative Study;2-s2.0-85086225574;10.1007/978-3-030-45183-7_25;Conference Paper;2020;brain tumor;neurosurgery
An End-to-End Multi-Level Wavelet Convolutional Neural Networks for heart diseases diagnosis;2-s2.0-85089814880;10.1016/j.neucom.2020.07.056;Article;2020;heart diseases;cardiology
An End-to-End Multi-Level Wavelet Convolutional Neural Networks for heart diseases diagnosis;2-s2.0-85089814880;10.1016/j.neucom.2020.07.056;Article;2020;cardiac arrhythmia;rhythmology
An End-to-End Multi-Level Wavelet Convolutional Neural Networks for heart diseases diagnosis;2-s2.0-85089814880;10.1016/j.neucom.2020.07.056;Article;2020;Arrhythmia;rhythmology
An End-to-End Multi-Level Wavelet Convolutional Neural Networks for heart diseases diagnosis;2-s2.0-85089814880;10.1016/j.neucom.2020.07.056;Article;2020;arrhythmia;rhythmology
An End-to-End Multi-Level Wavelet Convolutional Neural Networks for heart diseases diagnosis;2-s2.0-85089814880;10.1016/j.neucom.2020.07.056;Article;2020;CARDIAC ARRHYTHMIA;rhythmology
An End-to-End Multi-Level Wavelet Convolutional Neural Networks for heart diseases diagnosis;2-s2.0-85089814880;10.1016/j.neucom.2020.07.056;Article;2020;heart disease;cardiology
An End-to-End Multi-Level Wavelet Convolutional Neural Networks for heart diseases diagnosis;2-s2.0-85089814880;10.1016/j.neucom.2020.07.056;Article;2020;atrial premature contraction;electrophysiology
An End-to-End Multi-Level Wavelet Convolutional Neural Networks for heart diseases diagnosis;2-s2.0-85089814880;10.1016/j.neucom.2020.07.056;Article;2020;premature ventricular contraction;electrophysiology
Prediction of Patients with Heart Disease using Artificial Neural Network and Adaptive Boosting techniques;2-s2.0-85093645755;10.1109/CommNet49926.2020.9199620;Conference Paper;2020;heart diseases;cardiology
Prediction of Patients with Heart Disease using Artificial Neural Network and Adaptive Boosting techniques;2-s2.0-85093645755;10.1109/CommNet49926.2020.9199620;Conference Paper;2020;heart disease;cardiology
Predicting Diabetes using Distributed Machine Learning based on Apache Spark;2-s2.0-85083552173;10.1109/ITCE48509.2020.9047795;Conference Paper;2020;diabetes complication;endocrinology
Predicting Diabetes using Distributed Machine Learning based on Apache Spark;2-s2.0-85083552173;10.1109/ITCE48509.2020.9047795;Conference Paper;2020;Diabetes Complications;endocrinology
Detecting liver fibrosis using a machine learning-based approach to the quantification of the heart-induced deformation in tagged MR images;2-s2.0-85075446441;10.1002/nbm.4215;Article;2020;liver failure;hepatology
Detecting liver fibrosis using a machine learning-based approach to the quantification of the heart-induced deformation in tagged MR images;2-s2.0-85075446441;10.1002/nbm.4215;Article;2020;cirrhosis;hepatology
Detecting liver fibrosis using a machine learning-based approach to the quantification of the heart-induced deformation in tagged MR images;2-s2.0-85075446441;10.1002/nbm.4215;Article;2020;hypertension;family medicine
Classification of color-coded scheimpflug camera corneal tomography images using deep learning;2-s2.0-85098081173;10.1167/tvst.9.13.30;Article;2020;keratoconus;optometry
Big data analytics in heart diseases prediction;2-s2.0-85089585486;;Article;2020;cardiac disease;cardiology
Big data analytics in heart diseases prediction;2-s2.0-85089585486;;Article;2020;heart diseases;cardiology
Big data analytics in heart diseases prediction;2-s2.0-85089585486;;Article;2020;heart disease;cardiology
Overall assessment of tumor-infiltrating lymphocytes in head and neck squamous cell carcinoma: time to take notice;2-s2.0-85079067273;10.1080/00016489.2020.1720284;Review;2020;carcinoma;oncology
Predictive modeling of COVID-19 death cases in Pakistan;2-s2.0-85096874471;10.1016/j.idm.2020.10.011;Article;2020;respiratory infection;infectious diseases
An efficient retrieval system for biomedical images based on radial associated laguerre moments;2-s2.0-85095823762;10.1109/ACCESS.2020.3026452;Article;2020;emphysema;pulmonology
Semantic segmentation of diabetic foot ulcer images: Dealing with small dataset in dl approaches;2-s2.0-85088749626;10.1007/978-3-030-51935-3_17;Conference Paper;2020;diabetic foot;dermatology
Diagnosis and precise localization of cardiomegaly disease using U-NET;2-s2.0-85082621768;10.1016/j.imu.2020.100306;Article;2020;cardiomegaly;cardiology
A Clinical support system for Prediction of Heart Disease using Machine Learning Techniques;2-s2.0-85096626788;10.1109/ATSIP49331.2020.9231760;Conference Paper;2020;heart disease;cardiology
Heart Diseases Diagnosis based on a Novel Convolution Neural Network and Gate Recurrent Unit Technique;2-s2.0-85091999755;10.1109/ICEENG45378.2020.9171739;Conference Paper;2020;cardiac disease;cardiology
Heart Diseases Diagnosis based on a Novel Convolution Neural Network and Gate Recurrent Unit Technique;2-s2.0-85091999755;10.1109/ICEENG45378.2020.9171739;Conference Paper;2020;heart diseases;cardiology
Heart Diseases Diagnosis based on a Novel Convolution Neural Network and Gate Recurrent Unit Technique;2-s2.0-85091999755;10.1109/ICEENG45378.2020.9171739;Conference Paper;2020;heart disease;cardiology
Data-Driven Visual Characterization of Patient Health-Status Using Electronic Health Records and Self-Organizing Maps;2-s2.0-85089571507;10.1109/ACCESS.2020.3012082;Article;2020;hypertension;family medicine
Brain graph super-resolution for boosting neurological disorder diagnosis using unsupervised multi-topology connectional brain template learning;2-s2.0-85087880099;10.1016/j.media.2020.101768;Article;2020;neurological disorder;neurology
Applying Cloud Based Machine Learning on Biosensors Streaming Data for Health Status Prediction;2-s2.0-85099199503;10.1109/IISA50023.2020.9284349;Conference Paper;2020;heart diseases;cardiology
Applying Cloud Based Machine Learning on Biosensors Streaming Data for Health Status Prediction;2-s2.0-85099199503;10.1109/IISA50023.2020.9284349;Conference Paper;2020;heart disease;cardiology
Machine learning and deep learning for clinical data and PET/SPECT imaging in parkinsonâ€™s disease: A review;2-s2.0-85102770101;;Review;2020;parkinsonian syndrome;neurology
Patient Specific Epileptic Seizures Prediction based on Support Vector Machine;2-s2.0-85100564510;10.1109/ICM50269.2020.9331776;Conference Paper;2020;epileptic seizure;epileptology
Patient Specific Epileptic Seizures Prediction based on Support Vector Machine;2-s2.0-85100564510;10.1109/ICM50269.2020.9331776;Conference Paper;2020;seizure;epileptology
Deep learning-based image evaluation for cervical precancer screening with a smartphone targeting low resource settings - Engineering approach;2-s2.0-85089968637;10.1109/EMBC44109.2020.9175863;Conference Paper;2020;cervical intraepithelial neoplasia;oncology
A novel method based on deep learning for herniated lumbar disc segmentation;2-s2.0-85100605938;10.1109/IC_ASET49463.2020.9318261;Conference Paper;2020;disc herniation;neurosurgery
Deep learning-aided brain tumor detection: An initial experience based cloud framework;2-s2.0-85099807246;10.11591/ijeei.v8i4.2436;Article;2020;brain tumors;neurosurgery
Deep learning-aided brain tumor detection: An initial experience based cloud framework;2-s2.0-85099807246;10.11591/ijeei.v8i4.2436;Article;2020;brain tumor;neurosurgery
Segmentation of plantar foot thermal images: Application to diabetic foot diagnosis;2-s2.0-85089159312;10.1109/IWSSIP48289.2020.9145167;Conference Paper;2020;diabetic foot;dermatology
Towards an oversampling method to improve hepatocellular carcinoma early prediction;2-s2.0-85100825851;10.1007/978-3-030-49815-3_16;Book Chapter;2020;carcinoma;oncology
Topology-Aware Generative Adversarial Network for Joint Prediction of Multiple Brain Graphs from a Single Brain Graph;2-s2.0-85092704087;10.1007/978-3-030-59728-3_54;Conference Paper;2020;neurological disorder;neurology
Topology-Aware Generative Adversarial Network for Joint Prediction of Multiple Brain Graphs from a Single Brain Graph;2-s2.0-85092704087;10.1007/978-3-030-59728-3_54;Conference Paper;2020;collapse;cardiology
Real-time healthcare monitoring system using online machine learning and spark streaming;2-s2.0-85091950027;10.14569/IJACSA.2020.0110977;Article;2020;heart disease;cardiology
A Two-Stage Method for Bone X-Rays Abnormality Detection Using MobileNet Network;2-s2.0-85082984993;10.1007/978-3-030-44289-7_35;Conference Paper;2020;fracture;osteology
MRI Brain Images Classification Using Convolutional Neural Networks;2-s2.0-85080964883;10.1007/978-3-030-36674-2_32;Conference Paper;2020;brain tumor;neurosurgery
Glioblastomas brain Tumor Segmentation using Optimized U-Net based on Deep Fully Convolutional Networks (D-FCNs);2-s2.0-85096533252;10.1109/ATSIP49331.2020.9231681;Conference Paper;2020;brain tumors;neurosurgery
Glioblastomas brain Tumor Segmentation using Optimized U-Net based on Deep Fully Convolutional Networks (D-FCNs);2-s2.0-85096533252;10.1109/ATSIP49331.2020.9231681;Conference Paper;2020;brain tumor;neurosurgery
Segmentation of medical images for the extraction of brain tumors: A comparative study between the Hidden Markov and Deep Learning approaches;2-s2.0-85093828125;10.1109/ISCV49265.2020.9204319;Conference Paper;2020;brain tumors;neurosurgery
Segmentation of medical images for the extraction of brain tumors: A comparative study between the Hidden Markov and Deep Learning approaches;2-s2.0-85093828125;10.1109/ISCV49265.2020.9204319;Conference Paper;2020;brain tumor;neurosurgery
Segmentation of medical images for the extraction of brain tumors: A comparative study between the Hidden Markov and Deep Learning approaches;2-s2.0-85093828125;10.1109/ISCV49265.2020.9204319;Conference Paper;2020;malignant brain tumor;neurology
A review of recent progress in deep learning-based methods for MRI brain tumor segmentation;2-s2.0-85085044696;10.1109/ICICS49469.2020.239550;Conference Paper;2020;brain tumor;neurosurgery
Classical and deep learning paradigms for detection and validation of key genes of risky outcomes of HCV;2-s2.0-85083486821;10.3390/a13030073;Article;2020;cirrhosis;hepatology
Classical and deep learning paradigms for detection and validation of key genes of risky outcomes of HCV;2-s2.0-85083486821;10.3390/a13030073;Article;2020;carcinoma;oncology
Language-related features for early detection of Alzheimer Disease;2-s2.0-85093365119;10.1016/j.procs.2020.09.071;Conference Paper;2020;language disorder;psychiatry
Does data cleaning improve heart disease prediction?;2-s2.0-85093360090;10.1016/j.procs.2020.09.109;Conference Paper;2020;heart disease;cardiology
A Predictive Performance Analysis of Vitamin D Deficiency Severity Using Machine Learning Methods;2-s2.0-85087275695;10.1109/ACCESS.2020.3002191;Article;2020;vitamin D deficiency;endocrinology
A multi-label learning model for psychotic diseases in Nigeria;2-s2.0-85083880684;10.1016/j.imu.2020.100326;Article;2020;insomnia;neurology
Combined Datasets for Breast Cancer Grading Based on Multi-CNN Architectures;2-s2.0-85099272967;10.1109/IPTA50016.2020.9286653;Conference Paper;2020;breast tumor;dermatology
Quantification of left ventricular function in MRI: A review of current approaches;2-s2.0-85096584229;10.1109/ATSIP49331.2020.9231709;Conference Paper;2020;heart disease;cardiology
Quantification of left ventricular function in MRI: A review of current approaches;2-s2.0-85096584229;10.1109/ATSIP49331.2020.9231709;Conference Paper;2020;ischemic heart disease;cardiology
ReÐ°l-time heÐ°rt diseÐ°se detection Ð°nd monitoring system bÐ°sed on fÐ°st mÐ°chine leÐ°rning using SpÐ°rk;2-s2.0-85087631314;10.1007/s12553-020-00460-3;Article;2020;heart disease;cardiology
Evaluation of multi-antigen serological screening for active tuberculosis among people living with HIV;2-s2.0-85086007884;10.1371/journal.pone.0234130;Article;2020;Pulmonary TB;infectious diseases
Accuracy assessment of a deep-learning based segmentation tool over right ventricle short-axis slices;2-s2.0-85114079745;10.1007/978-3-030-49815-3_14;Book Chapter;2020;dysplasia;oncology
Deep Learning based Approach for Bone Diagnosis Classification in Ultrasonic Computed Tomographic Images;2-s2.0-85099379820;10.14569/IJACSA.2020.0111210;Article;2020;fracture;osteology
Clustering-Based Deep Brain MultiGraph Integrator Network for Learning Connectional Brain Templates;2-s2.0-85093102517;10.1007/978-3-030-60365-6_11;Conference Paper;2020;neurological disorder;neurology
DBN-DNN: discrimination and classification of VNG sequence using deep neural network framework in the EMD domain;2-s2.0-85089254448;10.1080/21681163.2020.1799867;Article;2020;Ocular nystagmus;neurology
Improve the Accuracy of Heart Disease Predictions Using Machine Learning and Feature Selection Techniques;2-s2.0-85088210210;10.1007/978-981-15-6318-8_19;Conference Paper;2020;cardiac disease;cardiology
Improve the Accuracy of Heart Disease Predictions Using Machine Learning and Feature Selection Techniques;2-s2.0-85088210210;10.1007/978-981-15-6318-8_19;Conference Paper;2020;heart disease;cardiology
Combination of Convolutional and Recurrent Neural Networks for Heartbeat Classification;2-s2.0-85082989242;10.1007/978-3-030-44289-7_34;Conference Paper;2020;heart diseases;cardiology
Combination of Convolutional and Recurrent Neural Networks for Heartbeat Classification;2-s2.0-85082989242;10.1007/978-3-030-44289-7_34;Conference Paper;2020;heart disease;cardiology
Screening test accuracy to improve detection of precancerous lesions of the cervix in women living with HIV: A study protocol;2-s2.0-85098229521;10.1136/bmjopen-2020-037955;Article;2020;cervical intraepithelial neoplasia;oncology
Comparative Analysis of Various Machine Learning Techniques for Epileptic Seizures Detection and Prediction Using EEG Data;2-s2.0-85097956811;10.1109/NILES50944.2020.9257979;Conference Paper;2020;epileptic seizure;epileptology
Comparative Analysis of Various Machine Learning Techniques for Epileptic Seizures Detection and Prediction Using EEG Data;2-s2.0-85097956811;10.1109/NILES50944.2020.9257979;Conference Paper;2020;seizure;epileptology
Detection of Cardiac Arrhythmias from Varied Length Multichannel Electrocardiogram Recordings Using Deep Convolutional Neural Networks;2-s2.0-85100933346;10.22489/CinC.2020.339;Conference Paper;2020;cardiac arrhythmia;rhythmology
Detection of Cardiac Arrhythmias from Varied Length Multichannel Electrocardiogram Recordings Using Deep Convolutional Neural Networks;2-s2.0-85100933346;10.22489/CinC.2020.339;Conference Paper;2020;Arrhythmia;rhythmology
Detection of Cardiac Arrhythmias from Varied Length Multichannel Electrocardiogram Recordings Using Deep Convolutional Neural Networks;2-s2.0-85100933346;10.22489/CinC.2020.339;Conference Paper;2020;arrhythmia;rhythmology
Detection of Cardiac Arrhythmias from Varied Length Multichannel Electrocardiogram Recordings Using Deep Convolutional Neural Networks;2-s2.0-85100933346;10.22489/CinC.2020.339;Conference Paper;2020;CARDIAC ARRHYTHMIA;rhythmology
Arrhythmias Prediction Using an Hybrid Model Based on Convolutional Neural Network and Nonlinear Regression;2-s2.0-85092550839;10.1142/S1469026820500248;Article;2020;heart diseases;cardiology
Arrhythmias Prediction Using an Hybrid Model Based on Convolutional Neural Network and Nonlinear Regression;2-s2.0-85092550839;10.1142/S1469026820500248;Article;2020;cardiac arrhythmia;rhythmology
Arrhythmias Prediction Using an Hybrid Model Based on Convolutional Neural Network and Nonlinear Regression;2-s2.0-85092550839;10.1142/S1469026820500248;Article;2020;Arrhythmia;rhythmology
Arrhythmias Prediction Using an Hybrid Model Based on Convolutional Neural Network and Nonlinear Regression;2-s2.0-85092550839;10.1142/S1469026820500248;Article;2020;arrhythmia;rhythmology
Arrhythmias Prediction Using an Hybrid Model Based on Convolutional Neural Network and Nonlinear Regression;2-s2.0-85092550839;10.1142/S1469026820500248;Article;2020;CARDIAC ARRHYTHMIA;rhythmology
Arrhythmias Prediction Using an Hybrid Model Based on Convolutional Neural Network and Nonlinear Regression;2-s2.0-85092550839;10.1142/S1469026820500248;Article;2020;heart disease;cardiology
MobileNet Neural Network skin disease detector with Raspberry pi Integrated to Telegram;2-s2.0-85092067068;10.1109/icABCD49160.2020.9183888;Conference Paper;2020;keratosis;medical genetics
A Novel Deep Learning Approach for Liver MRI Classification and HCC Detection;2-s2.0-85092903474;10.1007/978-3-030-59830-3_55;Conference Paper;2020;carcinoma;oncology
Deep learning based analysis in oncological studies: Colorectal cancer staging;2-s2.0-85089238619;10.1007/978-3-030-35249-3_73;Conference Paper;2020;adenocarcinoma;oncology
Deep learning based analysis in oncological studies: Colorectal cancer staging;2-s2.0-85089238619;10.1007/978-3-030-35249-3_73;Conference Paper;2020;carcinoma;oncology
A natural evolution optimization based deep learning algorithm for neurological disorder classification;2-s2.0-85086891372;10.3233/BME-201081;Article;2020;neurological disorder;neurology
Automated rheumatic heart disease detection from phonocardiogram in cardiology ward;2-s2.0-85083704813;;Conference Paper;2020;heart disease;cardiology
VNG technique for a convenient vestibular neuritis rating;2-s2.0-85082977276;10.1080/21681163.2020.1741034;Article;2020;neuritis;neurology
VNG technique for a convenient vestibular neuritis rating;2-s2.0-85082977276;10.1080/21681163.2020.1741034;Article;2020;vestibular dysfunction;otolaryngology
Breast cancer detection in thermal images using extreme learning machine;2-s2.0-85081614195;10.3233/JIFS-179553;Article;2020;breast tumor;dermatology
Rabies outbreak prediction using deep learning with long short-term memory;2-s2.0-85077782766;10.1007/978-3-030-33582-3_32;Conference Paper;2020;rabies;infectious diseases
Paired Augmentation for Improved Image Classification using Neural Network Models;2-s2.0-85105458487;10.1109/CSDE50874.2020.9411553;Conference Paper;2020;brain tumor;neurosurgery
Prediction of mortality in severe acute malnutrition in hospitalized children by faecal volatile organic compound analysis: proof of concept;2-s2.0-85095135031;10.1038/s41598-020-75515-6;Article;2020;severe acute malnutrition;nutrition
